crime_description,crime_category,year,total_crimes,avg_victim_age
THEFT PLAIN - PETTY ($950 & UNDER),Property Crime,2023,411,38.85401459854015
THEFT PLAIN - PETTY ($950 & UNDER),Property Crime,2024,303,37.445544554455445
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Property Crime,2021,1,0.0
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Property Crime,2022,1,53.0
"THEFT, PERSON",Property Crime,2020,31,41.54838709677419
"THEFT, PERSON",Property Crime,2021,31,43.32258064516129
"THEFT, PERSON",Property Crime,2022,57,44.771929824561404
"THEFT, PERSON",Property Crime,2023,43,41.97674418604651
"THEFT, PERSON",Property Crime,2024,12,36.333333333333336
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Property Crime,2020,216,37.58796296296296
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Property Crime,2021,237,38.55696202531646
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Property Crime,2022,243,37.36625514403292
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Property Crime,2023,260,38.29615384615385
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Property Crime,2024,181,37.24309392265194
THREATENING PHONE CALLS/LETTERS,Other Crime,2020,8,41.0
THREATENING PHONE CALLS/LETTERS,Other Crime,2023,2,48.0
THROWING OBJECT AT MOVING VEHICLE,Property Crime,2020,10,35.7
THROWING OBJECT AT MOVING VEHICLE,Property Crime,2021,6,39.5
THROWING OBJECT AT MOVING VEHICLE,Property Crime,2022,8,44.875
THROWING OBJECT AT MOVING VEHICLE,Property Crime,2023,4,15.25
THROWING OBJECT AT MOVING VEHICLE,Property Crime,2024,3,34.666666666666664
TRESPASSING,Quality of Life,2020,73,40.89041095890411
TRESPASSING,Quality of Life,2021,84,39.80952380952381
TRESPASSING,Quality of Life,2022,67,40.44776119402985
TRESPASSING,Quality of Life,2023,101,36.584158415841586
TRESPASSING,Quality of Life,2024,71,21.070422535211268
UNAUTHORIZED COMPUTER ACCESS,Other Crime,2020,6,32.833333333333336
UNAUTHORIZED COMPUTER ACCESS,Other Crime,2021,5,43.6
UNAUTHORIZED COMPUTER ACCESS,Other Crime,2022,5,41.2
UNAUTHORIZED COMPUTER ACCESS,Other Crime,2023,4,18.5
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Quality of Life,2020,395,34.45569620253165
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Quality of Life,2021,440,36.58409090909091
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Quality of Life,2022,400,36.51
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Quality of Life,2023,390,37.68974358974359
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Quality of Life,2024,243,38.75308641975309
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Quality of Life,2020,244,39.66393442622951
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Quality of Life,2021,197,38.34517766497462
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Quality of Life,2022,176,41.15340909090909
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Quality of Life,2023,129,40.21705426356589
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Quality of Life,2024,78,38.17948717948718
VEHICLE - ATTEMPT STOLEN,Property Crime,2020,16,43.3125
VEHICLE - ATTEMPT STOLEN,Property Crime,2021,23,41.43478260869565
VEHICLE - ATTEMPT STOLEN,Property Crime,2022,31,43.225806451612904
VEHICLE - ATTEMPT STOLEN,Property Crime,2023,52,44.11538461538461
VEHICLE - ATTEMPT STOLEN,Property Crime,2024,20,42.5
VEHICLE - STOLEN,Property Crime,2020,6,36.833333333333336
VEHICLE - STOLEN,Property Crime,2021,3,23.0
VEHICLE - STOLEN,Property Crime,2022,3,42.333333333333336
VEHICLE - STOLEN,Property Crime,2023,5,46.0
VEHICLE - STOLEN,Property Crime,2024,4,42.5
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Property Crime,2020,3,42.666666666666664
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Property Crime,2021,13,33.30769230769231
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Property Crime,2022,10,34.1
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Property Crime,2024,1,49.0
VIOLATION OF COURT ORDER,Other Crime,2020,51,40.01960784313726
VIOLATION OF COURT ORDER,Other Crime,2021,43,41.13953488372093
VIOLATION OF COURT ORDER,Other Crime,2022,49,41.69387755102041
VIOLATION OF COURT ORDER,Other Crime,2023,69,44.36231884057971
VIOLATION OF COURT ORDER,Other Crime,2024,12,37.0
VIOLATION OF RESTRAINING ORDER,Other Crime,2020,86,40.56976744186046
VIOLATION OF RESTRAINING ORDER,Other Crime,2021,107,39.45794392523364
VIOLATION OF RESTRAINING ORDER,Other Crime,2022,99,44.505050505050505
VIOLATION OF RESTRAINING ORDER,Other Crime,2023,101,41.28712871287129
VIOLATION OF RESTRAINING ORDER,Other Crime,2024,18,45.388888888888886
VIOLATION OF TEMPORARY RESTRAINING ORDER,Other Crime,2020,4,41.75
VIOLATION OF TEMPORARY RESTRAINING ORDER,Other Crime,2021,5,42.6
VIOLATION OF TEMPORARY RESTRAINING ORDER,Other Crime,2022,11,43.54545454545455
VIOLATION OF TEMPORARY RESTRAINING ORDER,Other Crime,2023,10,40.7
VIOLATION OF TEMPORARY RESTRAINING ORDER,Other Crime,2024,2,35.5
