hour,sk_time,period_of_day,is_rush_hour
0,1,Madrugada,False
1,2,Madrugada,False
2,3,Madrugada,False
3,4,Madrugada,False
4,5,Madrugada,False
5,6,Madrugada,False
6,7,Manhã,False
7,8,Manhã,True
8,9,Manhã,True
9,10,Manhã,True
10,11,Manhã,False
11,12,Manhã,False
12,13,Tarde,False
13,14,Tarde,False
14,15,Tarde,False
15,16,Tarde,False
16,17,Tarde,False
17,18,Tarde,True
18,19,Noite,True
19,20,Noite,True
20,21,Noite,False
21,22,Noite,False
22,23,Noite,False
23,24,Noite,False
