area_name,year,month,total_crimes,violent_crimes,crimes_with_weapon,cases_closed
Devonshire,2023,3,28,8,11,3
Devonshire,2023,4,31,5,10,3
Devonshire,2023,5,33,12,16,4
Devonshire,2023,6,26,5,6,0
Devonshire,2023,7,33,8,16,4
Devonshire,2023,8,18,2,4,1
Devonshire,2023,9,31,8,9,2
Devonshire,2023,10,36,12,14,2
Devonshire,2023,11,22,3,4,1
Devonshire,2023,12,32,12,15,3
Devonshire,2024,1,26,5,5,3
Devonshire,2024,2,25,4,7,1
Devonshire,2024,3,28,6,7,1
Devonshire,2024,4,28,8,9,2
Devonshire,2024,5,12,0,0,0
Devonshire,2024,6,4,0,0,0
Devonshire,2024,7,6,1,1,1
Devonshire,2024,8,4,0,0,0
Devonshire,2024,9,3,0,0,0
Devonshire,2024,10,8,0,0,0
Devonshire,2024,11,10,0,0,0
Devonshire,2024,12,7,0,0,1
Foothill,2020,1,18,5,7,2
Foothill,2020,2,21,8,11,3
Foothill,2020,3,24,7,10,1
Foothill,2020,4,20,4,6,2
Foothill,2020,5,22,8,9,2
Foothill,2020,6,28,6,8,1
Foothill,2020,7,22,10,12,5
Foothill,2020,8,20,8,8,6
Foothill,2020,9,21,7,9,3
Foothill,2020,10,18,7,8,2
Foothill,2020,11,24,8,12,4
Foothill,2020,12,21,12,14,0
Foothill,2021,1,24,7,10,2
Foothill,2021,2,15,2,6,4
Foothill,2021,3,23,3,5,2
Foothill,2021,4,24,8,8,5
Foothill,2021,5,31,9,11,6
Foothill,2021,6,21,3,6,1
Foothill,2021,7,25,7,8,2
Foothill,2021,8,20,6,8,3
Foothill,2021,9,29,6,9,2
Foothill,2021,10,24,9,12,4
Foothill,2021,11,28,10,11,6
Foothill,2021,12,24,7,8,2
Foothill,2022,1,31,7,9,5
Foothill,2022,2,39,11,15,5
Foothill,2022,3,30,9,10,6
Foothill,2022,4,24,8,12,4
Foothill,2022,5,27,11,13,3
Foothill,2022,6,37,9,15,3
Foothill,2022,7,25,6,8,2
Foothill,2022,8,27,12,15,2
Foothill,2022,9,26,10,12,6
Foothill,2022,10,20,6,7,1
Foothill,2022,11,25,5,6,4
Foothill,2022,12,24,5,8,1
Foothill,2023,1,14,2,7,2
Foothill,2023,2,20,5,7,2
Foothill,2023,3,22,4,8,1
Foothill,2023,4,24,10,12,0
Foothill,2023,5,27,12,13,6
Foothill,2023,6,22,10,11,4
Foothill,2023,7,25,12,15,4
Foothill,2023,8,32,9,13,3
Foothill,2023,9,19,8,8,4
Foothill,2023,10,16,4,7,2
Foothill,2023,11,18,6,7,0
Foothill,2023,12,19,5,7,4
Foothill,2024,1,18,4,4,4
Foothill,2024,2,31,11,12,5
Foothill,2024,3,16,5,7,2
Foothill,2024,4,19,5,6,1
Foothill,2024,5,16,6,9,2
Foothill,2024,6,7,1,1,2
Foothill,2024,7,4,0,0,0
Foothill,2024,8,8,0,0,0
Foothill,2024,9,6,0,0,0
Foothill,2024,10,3,0,0,0
Foothill,2024,11,7,0,0,0
Foothill,2024,12,5,0,0,0
Harbor,2020,1,20,3,5,4
Harbor,2020,2,25,8,9,3
Harbor,2020,3,29,13,14,5
Harbor,2020,4,19,8,9,5
Harbor,2020,5,34,13,16,8
Harbor,2020,6,27,9,11,3
Harbor,2020,7,21,11,12,3
Harbor,2020,8,26,13,16,4
Harbor,2020,9,25,15,17,4
Harbor,2020,10,44,20,24,9
Harbor,2020,11,20,7,9,4
Harbor,2020,12,28,12,16,3
Harbor,2021,1,32,14,16,3
Harbor,2021,2,21,3,6,3
Harbor,2021,3,16,3,4,2
Harbor,2021,4,25,14,14,8
Harbor,2021,5,19,10,10,2
Harbor,2021,6,19,9,10,3
Harbor,2021,7,30,10,13,3
Harbor,2021,8,32,14,18,8
Harbor,2021,9,15,3,6,3
Harbor,2021,10,31,13,16,4
Harbor,2021,11,30,8,11,2
Harbor,2021,12,23,8,10,2
Harbor,2022,1,21,6,9,4
Harbor,2022,2,22,8,11,4
Harbor,2022,3,27,4,9,6
Harbor,2022,4,28,8,9,3
Harbor,2022,5,22,7,11,4
Harbor,2022,6,24,6,6,3
Harbor,2022,7,37,19,23,4
Harbor,2022,8,25,10,12,5
Harbor,2022,9,29,14,15,2
Harbor,2022,10,30,8,11,3
Harbor,2022,11,21,7,10,3
Harbor,2022,12,28,8,9,2
Harbor,2023,1,24,9,10,3
Harbor,2023,2,28,11,13,4
Harbor,2023,3,20,4,5,2
Harbor,2023,4,20,7,10,5
Harbor,2023,5,26,12,13,2
Harbor,2023,6,29,13,16,5
Harbor,2023,7,31,15,18,9
Harbor,2023,8,27,12,14,9
Harbor,2023,9,32,18,20,5
Harbor,2023,10,21,7,11,4
Harbor,2023,11,30,12,16,9
Harbor,2023,12,26,11,11,5
Harbor,2024,1,18,6,7,3
Harbor,2024,2,27,10,12,3
Harbor,2024,3,30,11,14,1
Harbor,2024,4,23,9,10,3
Harbor,2024,5,9,1,2,1
Harbor,2024,6,7,1,1,0
Harbor,2024,7,5,0,0,0
Harbor,2024,8,10,3,3,0
Harbor,2024,9,7,1,1,0
Harbor,2024,10,7,1,2,0
Harbor,2024,11,6,1,1,1
Harbor,2024,12,5,0,0,0
Hollenbeck,2020,1,26,3,6,1
Hollenbeck,2020,2,18,9,10,4
Hollenbeck,2020,3,16,5,8,2
Hollenbeck,2020,4,23,6,9,3
Hollenbeck,2020,5,24,12,12,3
Hollenbeck,2020,6,22,11,14,2
Hollenbeck,2020,7,18,6,8,4
Hollenbeck,2020,8,19,9,11,3
Hollenbeck,2020,9,27,10,12,4
Hollenbeck,2020,10,23,8,10,3
Hollenbeck,2020,11,22,8,11,2
Hollenbeck,2020,12,33,12,13,3
Hollenbeck,2021,1,28,13,16,6
Hollenbeck,2021,2,25,7,11,2
